id,product_title,product_image,brand_name,product_price
810397a8-8570-5fcb-b636-ff58a56c7055,Luv Aj Puffy Heart Huggies Gold,https://d2jgxrbnm3mr8f.cloudfront.net/266/eefdd5c1-ddde-5710-bdd7-32f99c60415e_luv-aj-puffy-heart-huggies-gold.jpg,Luv Aj,65
17034cd2-a350-54c8-8d02-506667aae153,LSPACE Rocky Bottoms Pim,https://d2jgxrbnm3mr8f.cloudfront.net/266/7c0dbfd0-f5dc-50c4-8aeb-b6578f77ee4d_lspace-rocky-bottoms-pim.jpg,L-Space,88
262494fd-40ca-5d1a-9cd6-1f5943799144,Jennifer Behr Kenzie Earrings Gold,https://d2jgxrbnm3mr8f.cloudfront.net/266/b4e3a9a2-bc7c-5915-80f6-b4f17a353436_jennifer-behr-kenzie-earrings-gold.jpg,Jennifer Behr,198
3c74f00a-4043-5072-a9d5-6f3ae0e2bc7f,Paul Smith Sun Logo Script Bucket Hat Khaki,https://d2jgxrbnm3mr8f.cloudfront.net/266/e2d97ba6-42ec-59dd-a90b-f2d01a26c066_paul-smith-sun-logo-script-bucket-hat-khaki.jpg,Paul Smith,75
1108e246-735d-58e1-9211-0b878e70745e,Reformation Elise Knit Dress Tana,https://d2jgxrbnm3mr8f.cloudfront.net/266/9664b52a-8121-516c-8983-4c329a0c0657_reformation-elise-knit-dress-tana.jpg,Reformation,178
11041f17-6149-57ea-a8b4-cdda87d48d90,Onia Air Linen Convertible Camp Shirt White,https://d2jgxrbnm3mr8f.cloudfront.net/266/1ebbed85-6cf2-514c-b785-5bf5cccb1762_onia-air-linen-convertible-camp-shirt-white.jpg,Onia,150
110f820c-0599-57f9-8ce7-dc61f867fa21,CAMI NYC Rafella Top Seaside Bandana,https://d2jgxrbnm3mr8f.cloudfront.net/266/de000b5e-ce19-5935-a39e-b8bc32dea6fe_cami-nyc-rafella-top-seaside-bandana.jpg,CAMI NYC,117
112e8ed6-f191-5113-9131-771ef9a2a9f0,Levi's 501 90s Jeans Ecru White,https://d2jgxrbnm3mr8f.cloudfront.net/266/504b7faf-4bc9-564a-9472-dc120489e5dd_levis-501-90s-jeans-ecru-white.jpg,Levi's,98
004f5e10-902c-5650-a294-f4ba5ca8b0e1,Fleur du Mal Strawberry Embroidery Thong Pink Cadillac,https://d2jgxrbnm3mr8f.cloudfront.net/266/b474615d-8f5b-5b59-bb5e-b7fa70f74ef6_fleur-du-mal-strawberry-embroidery-thong-pink-cadillac.jpg,Fleur Du Mal,88
1121341e-9972-5549-9511-e86699499851,MIKOH Opihi Bubble Sleeve Crop Top Bone,https://d2jgxrbnm3mr8f.cloudfront.net/266/fdf4a913-db08-531a-948d-64eb656a2ca8_mikoh-opihi-bubble-sleeve-crop-top-bone.jpg,Mikoh,152
21c594cf-7ede-5815-a83c-300cb5ac7238,Strathberry Multrees Omni Shoulder Bag Ecru/Tan,https://d2jgxrbnm3mr8f.cloudfront.net/266/77e86f47-764e-5061-9e27-f667b5f0fc20_strathberry-multrees-omni-shoulder-bag-ecrutan.jpg,Strathberry,525
35628ba1-3b42-506a-95e1-109a6c1b8639,Annika Inez Small Heart Hoops Gold,https://d2jgxrbnm3mr8f.cloudfront.net/266/b2ebc311-5653-5b61-9717-be78881827eb_annika-inez-small-heart-hoops-gold.jpg,Annika Inez,235
112590eb-56f5-5691-9582-f6a9226f2ff1,Tach Clothing Marina Linen Mini Dress Ivory,https://d2jgxrbnm3mr8f.cloudfront.net/266/54e2d796-66f0-5f26-8ca6-8486da2e4d14_tach-clothing-marina-linen-mini-dress-ivory.jpg,Tach Clothing,159.6
11247cb1-4f3d-52d5-b9dc-86b0a1131d36,Devon Windsor Nora Bikini Bottoms Orchid,https://d2jgxrbnm3mr8f.cloudfront.net/266/7013e490-a5c8-5968-8eeb-96f541cb0786_devon-windsor-nora-bikini-bottoms-orchid.jpg,Devon Windsor,85
112fa447-7808-5b1f-8dab-c86068d5f3e4,Lioness Top Model Jeans Charcoal,https://d2jgxrbnm3mr8f.cloudfront.net/266/f77b3876-a40b-5ce4-9d63-fa73f21ce7cd_lioness-top-model-jeans-charcoal.jpg,Lioness,49.5
170b98da-29ea-520c-8db5-d68164f30dcc,Sea Syble Pointelle Sweater Cream,https://d2jgxrbnm3mr8f.cloudfront.net/266/f12c8441-e788-5526-b221-238fbd16c35a_sea-syble-pointelle-sweater-cream.jpg,Sea,195
112643f0-0326-5ded-b4e7-9840b77fa7c0,STAUD Moon Woven Tote Bag Black,https://d2jgxrbnm3mr8f.cloudfront.net/266/1dc54606-9222-5a5b-a781-00df1ce43194_staud-moon-woven-tote-bag-black.jpg,STAUD,147.5
421935f9-7f37-522e-98d3-4424ec265314,Ulla Johnson Zahara Bikini Bottoms Noir,https://d2jgxrbnm3mr8f.cloudfront.net/266/3f2122c7-d684-5870-bc94-476897ccfcae_ulla-johnson-zahara-bikini-bottoms-noir.jpg,Ulla Johnson,160
21c7c510-81a3-5ca9-a242-f521556ef18f,Veja Esplar Logo Sneakers Extra White/Sable,https://d2jgxrbnm3mr8f.cloudfront.net/266/ef744139-d77b-55f2-b80e-c71b55676bb5_veja-esplar-logo-sneakers-extra-whitesable.jpg,Veja,150
172f426c-bc22-57b0-962d-0652f38007fb,AGMES Baroque Patrice Earrings Gold,https://d2jgxrbnm3mr8f.cloudfront.net/266/2c7338cb-47ca-5db4-ba11-ee99a361bfed_agmes-baroque-patrice-earrings-gold.jpg,AGMES,520
0baf0548-8555-5f97-9dac-6b8d5f79ce31,Falke Dot 15 DEN Anklet Socks Black,https://d2jgxrbnm3mr8f.cloudfront.net/266/dea3aa9d-f419-57cb-b90e-fbf1531b96e7_falke-dot-15-den-anklet-socks-black.jpg,Falke,20
